SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
605,0000003B,00000002,0000003D,00000002,00000002,0000003B,0000003B,00000002,0000003D,00100010,00C33022,4,6,1
610,10000020,00000000,10000020,00000000,00000000,10000020,10000020,00000000,10000020,00100011,AC400000,0,2,0
615,10000020,00000000,10000020,00000000,00000000,10000020,10000020,00000000,10000020,00100011,AC400000,0,2,1
620,10000024,10000020,10000020,00000003,10000020,10000024,10000024,00000004,10000020,00100012,20420004,0,2,0
625,10000024,10000020,10000020,00000003,10000020,10000024,10000024,00000004,10000020,00100012,20420004,0,2,1
630,FFFFFFFC,10000028,10000024,00000000,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100013,1447FFF9,1,6,0
635,FFFFFFFC,10000028,10000024,00000000,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100013,1447FFF9,1,6,1
640,00000003,00000002,10000024,00000003,00000002,10000024,10000024,00000000,10000024,0010000D,8C430000,0,2,0
645,00000003,00000002,10000024,00000003,00000002,10000024,10000024,00000000,10000024,0010000D,8C430000,0,2,1
650,00000000,00000003,0000003B,00000003,00000003,00000000,00000000,00000003,0000003B,0010000E,00C3202A,4,7,0
655,00000000,00000003,0000003B,00000003,00000003,00000000,00000000,00000003,0000003B,0010000E,00C3202A,4,7,1
660,FFFFFFFF,00000001,00000000,00000003,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,0
665,FFFFFFFF,00000001,00000000,00000003,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
670,00000038,00000003,0000003B,00000003,00000003,00000038,00000038,00000003,0000003B,00100010,00C33022,4,6,0
675,00000038,00000003,0000003B,00000003,00000003,00000038,00000038,00000003,0000003B,00100010,00C33022,4,6,1
680,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00000000,10000024,00100011,AC400000,0,2,0
685,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00000000,10000024,00100011,AC400000,0,2,1
690,10000028,10000024,10000024,00000000,10000024,10000028,10000028,00000004,10000024,00100012,20420004,0,2,0
695,10000028,10000024,10000024,00000000,10000024,10000028,10000028,00000004,10000024,00100012,20420004,0,2,1
700,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100013,1447FFF9,1,6,0
705,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100013,1447FFF9,1,6,1
710,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100014,ACE60000,0,2,0
715,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100014,ACE60000,0,2,1
720,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100015,ACE60000,0,2,0
725,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100015,ACE60000,0,2,1
730,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100016,ACE60000,0,2,0
735,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100016,ACE60000,0,2,1
740,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100017,ACE60000,0,2,0
745,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100017,ACE60000,0,2,1
750,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100018,ACE60000,0,2,0
755,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100018,ACE60000,0,2,1
760,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100019,ACE60000,0,2,0
765,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100019,ACE60000,0,2,1
770,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001A,ACE60000,0,2,0
775,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001A,ACE60000,0,2,1
780,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001B,ACE60000,0,2,0
785,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001B,ACE60000,0,2,1
790,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001C,ACE60000,0,2,0
795,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001C,ACE60000,0,2,1
800,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001D,ACE60000,0,2,0
805,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001D,ACE60000,0,2,1
810,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001E,ACE60000,0,2,0
815,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001E,ACE60000,0,2,1
820,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001F,ACE60000,0,2,0
825,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010001F,ACE60000,0,2,1
830,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100020,ACE60000,0,2,0
835,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100020,ACE60000,0,2,1
840,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100021,ACE60000,0,2,0
845,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100021,ACE60000,0,2,1
850,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100022,ACE60000,0,2,0
855,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100022,ACE60000,0,2,1
860,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100023,ACE60000,0,2,0
865,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100023,ACE60000,0,2,1
870,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100024,ACE60000,0,2,0
875,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100024,ACE60000,0,2,1
880,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100025,ACE60000,0,2,0
885,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100025,ACE60000,0,2,1
890,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100026,ACE60000,0,2,0
895,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100026,ACE60000,0,2,1
900,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100027,ACE60000,0,2,0
905,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100027,ACE60000,0,2,1
910,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100028,ACE60000,0,2,0
915,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100028,ACE60000,0,2,1
920,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100029,ACE60000,0,2,0
925,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100029,ACE60000,0,2,1
930,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002A,ACE60000,0,2,0
935,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002A,ACE60000,0,2,1
940,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002B,ACE60000,0,2,0
945,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002B,ACE60000,0,2,1
950,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002C,ACE60000,0,2,0
955,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002C,ACE60000,0,2,1
960,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002D,ACE60000,0,2,0
965,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002D,ACE60000,0,2,1
970,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002E,ACE60000,0,2,0
975,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002E,ACE60000,0,2,1
980,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002F,ACE60000,0,2,0
985,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,0010002F,ACE60000,0,2,1
